Gene_Name,Fold Change,log2FC,abslog2FC
IFI44L,0.522340523369873,-0.9369374620236175,0.9369374620236175
NT5DC3,1.913826070491092,0.9364597229055376,0.9364597229055376
ST6GAL2,1.913790217713174,0.9364326958364632,0.9364326958364632
EXPH5,0.5225338733460784,-0.9364035317141218,0.9364035317141218
FOXO4,0.5226613501123196,-0.9360516164063036,0.9360516164063036
MSTO1,1.9132180621680797,0.9360013165901656,0.9360013165901656
KIAA1109,0.5228958812152941,-0.9354043885841772,0.9354043885841772
SHROOM1,0.5229078489928856,-0.9353713692845061,0.9353713692845061
TDRD9,0.5229104361090096,-0.9353642314869451,0.9353642314869451
STAT4,0.5229982187388671,-0.9351220620307846,0.9351220620307846
HOXA2,0.5230809501995942,-0.9348938646401674,0.9348938646401674
ABCF3,1.9116689965447793,0.9348327438293864,0.9348327438293864
ACAP2,1.9116200963867453,0.934795839470975,0.934795839470975
TSSC1,1.9113261162033361,0.9345739562793343,0.9345739562793343
TSPAN3,0.5232556104394236,-0.9344122194914424,0.9344122194914424
CLNK,0.5233840615283917,-0.9340581038297782,0.9340581038297782
PGK1,1.9101926674898366,0.9337181599435972,0.9337181599435972
SOWAHC,1.910159108312771,0.9336928137654589,0.9336928137654589
TBC1D2B,0.5235265120660028,-0.9336654959210698,0.9336654959210698
ZNF519,1.9098953623562849,0.9334935993369721,0.9334935993369721
RPF2,1.909882258923815,0.9334837012439847,0.9334837012439847
EVI5,0.5236450199413517,-0.9333389577760262,0.9333389577760262
MAP2K3,0.5236756522702505,-0.9332545650772505,0.9332545650772505
LRR1,1.909213282614778,0.932978278531778,0.932978278531778
ERGIC2,1.9088899835864654,0.9327339572688542,0.9327339572688542
SFRP4,1.9082454852719124,0.9322467780536084,0.9322467780536084
DNAJB11,1.9071679484619957,0.9314318954305995,0.9314318954305995
CORO6,1.9068177088826614,0.9311669290929964,0.9311669290929964
AGAP2,0.5244571333509479,-0.9311032363447547,0.9311032363447547
WDR19,0.5245127637126747,-0.9309502145139356,0.9309502145139356
C11orf83,1.9063398255113428,0.9308053180306074,0.9308053180306074
NKRF,1.9059315781599058,0.9304963282608557,0.9304963282608557
SQLE,1.90564493190808,0.9302793350425977,0.9302793350425977
LRPPRC,1.9056352949565534,0.9302720392357564,0.9302720392357564
IGFBP5,1.9050482830382995,0.9298275629769578,0.9298275629769578
TRIM28,1.9050330194908285,0.9298160038303178,0.9298160038303178
DHX36,1.904983491114922,0.929778495151755,0.929778495151755
NRM,1.9046585309425814,0.9295323731132303,0.9295323731132303
ABHD5,0.5250380323199763,-0.9295061634379476,0.9295061634379476
GP1BB,1.9044750360233478,0.9293933770893013,0.9293933770893013
PSMD12,1.9035672862225594,0.9287055663719044,0.9287055663719044
C20orf194,0.5254550633271938,-0.9283607040339612,0.9283607040339612
HIPK1,0.5254612663040609,-0.9283436731748669,0.9283436731748669
HK2,1.9030457856054688,0.9283102720014982,0.9283102720014982
MED12L,1.9028522645185288,0.928163556609231,0.928163556609231
CEP85L,0.5256327583427373,-0.927872905174775,0.927872905174775
FBLIM1,1.902451703636801,0.9278598293881662,0.9278598293881662
LANCL2,1.9019551598848938,0.927483233909172,0.927483233909172
ADCY7,0.5259425205598207,-0.9270229566521485,0.9270229566521485
UPF3B,1.9013217606645472,0.9270026999161787,0.9270026999161787
EMC1,1.9013092864763206,0.9269932346542216,0.9269932346542216
CHPT1,0.5261612246012484,-0.9264231617327103,0.9264231617327103
EFEMP2,0.5261733353054824,-0.9263899554623729,0.9263899554623729
MKKS,1.9003983490269265,0.9263018585190979,0.9263018585190979
MZT1,1.900265664027678,0.9262011266523312,0.9262011266523312
MTMR1,1.9002581635500964,0.9261954322258247,0.9261954322258247
PMM1,0.5262612727974204,-0.9261488630793484,0.9261488630793484
FOXK1,1.8998551247663849,0.925889408687782,0.925889408687782
FAM217B,1.8995977871688252,0.9256939807222268,0.9256939807222268
ZNF215,1.8994790632304202,0.9256038101655508,0.9256038101655508
TMEM54,1.8994200586875032,0.9255589942550825,0.9255589942550825
SLC26A2,0.5265243012067378,-0.9254279759414532,0.9254279759414532
C12orf73,1.8991661542995637,0.9253661295515602,0.9253661295515602
CTF1,0.5265826376547542,-0.925268140883423,0.925268140883423
UNC93B1,0.5267469562916102,-0.9248180221631228,0.9248180221631228
ISCU,0.5268153467104036,-0.9246307213876582,0.9246307213876582
CA8,0.5268410321353154,-0.9245603830194868,0.9245603830194868
REV3L,0.5268637004592929,-0.9244983096936662,0.9244983096936662
C4orf46,1.898012293050462,0.9244893364398997,0.9244893364398997
PRKG2,0.5269667878714113,-0.9242160561427155,0.9242160561427155
TOMM70A,1.8973080970697103,0.9239539718558992,0.9239539718558992
NTF3,1.8972755808252852,0.9239292466008707,0.9239292466008707
FAM105B,1.8969335677320223,0.9236691551954754,0.9236691551954754
AGFG2,0.5272929449803582,-0.9233234008624697,0.9233234008624697
ZNF737,0.5272965735832557,-0.9233134728908495,0.9233134728908495
MPP5,0.5273192398780936,-0.9232514587417241,0.9232514587417241
