Gene_Name,P_Value
AGPAT4,1.4048197532962052e-05
PSME1,1.306777089904779e-09
SCAMP1,0.025283428513896505
TRAM2,0.024615414964175148
PPP2R1B,0.021499890069171107
INO80E,0.6075389657421122
ATG5,0.007951539001331482
H2AFV,2.685185501204756e-11
ZNF232,0.3092302962615101
KARS,1.1730098502738851e-06
NAP1L2,0.23436729735512896
ZNF440,0.8876145377170942
C1D,0.6791456905302422
GFER,0.7303266896009318
NFIB,1.4237267720135781e-09
SRC,6.661166347638243e-05
EIF4EBP2,5.155888975164472e-11
BANK1,9.810817562244512e-17
SGSM3,0.22765617476544375
TMEM26,0.03703477434789896
RNASEL,5.366602995421941e-06
FAM84A,3.455610935912706e-10
TOMM40L,0.12253609825502403
CEP128,1.6890212491462936e-09
RPP21,1.5445182672575602e-10
CCDC104,4.705738917817933e-06
SLC4A7,0.0038284980838939613
SFMBT2,3.7323964247972285e-06
FAM189B,2.1333449820168132e-17
SLC36A1,2.5687023229313167e-05
CHI3L2,2.940072058428413e-15
TMEM8A,0.0010201670101643125
SLC30A1,0.5236830890423975
DPYSL2,7.73298779987613e-18
FNDC1,5.2793795671677234e-06
LGALS2,1.3702888481212723e-08
ZNF354A,0.25246852491406546
ESM1,0.7433226811642305
FAM179B,5.2793795671677234e-06
SPAG4,6.216205861053659e-06
HRH2,0.0011948973917757385
C3orf58,0.05065417476774865
ABT1,0.04558587888415406
TNC,6.799756244377456e-07
ARNTL,0.0389514842806052
KCTD15,1.7481166264969505e-05
CARD11,0.22108314634278425
CIDEB,0.7433226811642305
POGLUT1,8.984113190012638e-08
ETS2,8.324731387576603e-08
SIVA1,0.0011948973917757385
ITFG2,0.044115112901999896
C8orf4,8.331001343412624e-15
DLL1,0.5742207300206108
PDDC1,0.2883953957796789
CXADR,1.617227232668464e-05
MIB1,4.1160527214254846e-07
ELOVL6,1.839155502666152e-09
ADAMTS10,3.419000052170303e-08
RHOF,2.47513120362938e-10
APLP1,0.25390022371319265
MOSPD2,2.635716551098332e-09
AMN1,0.014255775315551488
SELENBP1,9.540342289434708e-18
RSPH9,2.213283328398163e-10
TNFRSF11B,7.712320823699273e-08
PIGU,5.238925551977576e-15
PRELID1,0.19734791917969852
NDUFV2,0.9587648295967376
ZNF649,5.781316436351728e-08
NOSTRIN,8.211730646555817e-18
WDR91,0.5883939556686413
XKR8,1.216448731592617e-07
RCC1,3.423089275518077e-17
FAM26F,0.4628318402117394
CERK,0.23166622013101779
TMEM242,0.9422954352478662
MANF,2.6888311433455648e-05
IFNAR1,1.238591792618836e-05
ANXA1,0.7590146502526539
EMC4,0.008713408684777973
ABCA6,1.0099815060146218e-16
RAB7L1,0.0017907833588296817
CDKN1C,2.6229020778095915e-11
KIAA0922,0.002132026079679077
C19orf59,6.918459927178913e-17
AKAP11,2.072916255511278e-11
NMRK1,0.0001476149890109772
MRPS5,0.00022893017449171298
GDPD3,0.0001266085643608384
SMARCD2,1.4432893615767532e-10
SMARCAL1,0.02016748197034859
HELZ2,0.12087545165055108
CD1E,1.8495947558198558e-10
ACR,8.319543012574136e-13
SLC12A7,0.5214413112970188
SYCE3,5.5096333310237045e-05
C12orf49,7.774207850691744e-17
HOOK3,0.008282459804732734
PLEKHA5,8.1172088883788e-07
SLC35D2,5.9419282019739894e-09
MCAM,1.5459969290584077e-08
EIF2B1,1.1936056726497934e-06
LRRC8C,9.198434511921357e-13
S100A1,0.0006944539783651896
IRF8,6.319065169698228e-16
MX2,0.20218302542001498
CKLF,0.0006687013810479448
FANCB,8.24041261113812e-17
SPP1,1.873369754505005e-14
CERS5,0.007175454348338783
MKI67,3.423089275518077e-17
IRAK1,2.769454762951483e-16
DDX59,0.6220775088022122
